Treatment Pressure of Stage 1,Treatment Pressure of Stage 2,Treatment Pressure of Stage 3,Treatment Pressure of Stage 4,Treatment Pressure of Stage 5,Treatment Pressure of Stage 6,Treatment Volume of Stage 1,Treatment Volume of Stage 2,Treatment Volume of Stage 3,Treatment Volume of Stage 4,Treatment Volume of Stage 5,Treatment Volume of Stage 6,Fracture Spacing,NPV,Length of Fracture 1,Width of Fracture 1,Length of Fracture 2,Width of Fracture 2,Length of Fracture 3,Width of Fracture 3,Length of Fracture 4,Width of Fracture 4,Length of Fracture 5,Width of Fracture 5,Length of Fracture 6,Width of Fracture 6,Length of Fracture 7,Width of Fracture 7,Length of Fracture 8,Width of Fracture 8,Length of Fracture 9,Width of Fracture 9,Length of Fracture 10,Width of Fracture 10,Length of Fracture 11,Width of Fracture 11,Length of Fracture 12,Width of Fracture 12,Length of Fracture 13,Width of Fracture 13,Length of Fracture 14,Width of Fracture 14,Length of Fracture 15,Width of Fracture 15,Length of Fracture 16,Width of Fracture 16,Length of Fracture 17,Width of Fracture 17,Length of Fracture 18,Width of Fracture 18,Length of Fracture 19,Width of Fracture 19,Length of Fracture 20,Width of Fracture 20,Length of Fracture 21,Width of Fracture 21,Length of Fracture 22,Width of Fracture 22,Length of Fracture 23,Width of Fracture 23,Length of Fracture 24,Width of Fracture 24,Average of Fracture Length,Average of Fracture Width,Variation of Fracture Length,Variation of Fracture Width,Average Area of Fracture
24.1704,27.7256,27.1624,23.6872,29.1544,22.0968,2840.6,2521.8,3583.8,2298.6,2521.8,2279.8,35.98,33319100,60.6088,0.0186355,58.173,0.0169124,58.173,0.0169124,60.6088,0.0186355,29.8771,0.0276785,29.9043,0.0269181,29.9861,0.0270315,30.8367,0.029658,38.5118,0.0269559,39.2951,0.0269378,39.3913,0.027036,40.7925,0.0298132,53.552,0.0136784,58.29,0.014806,58.4491,0.0148505,61.0207,0.0164158,24.3828,0.0313801,24.2779,0.030185,24.3229,0.0302928,24.8503,0.0329461,97.4392,0.0089341,107.673,0.0091406,106.715,0.0091872,111.442,0.0100365,52.857225,0.0214574125,766.7585910845652,6.66665303089674e-05,0.5427379285652083
26.564,23.8376,29.0416,22.992,29.9272,24.0208,2878.4,3640.2,2744.0,3191.8,3639.8,3795.6,23.434,26514700,43.8332,0.0254487,39.3451,0.0192015,39.3451,0.0192015,43.8332,0.0254487,73.014,0.0119088,104.322,0.0147722,90.2617,0.0129648,112.287,0.017689,31.3402,0.03037,29.9915,0.0252105,29.9972,0.0249985,32.7006,0.0327171,12.0,0.0009593,137.964,0.0136637,111.906,0.0104682,145.778,0.0142357,33.9619,0.0360675,31.7057,0.0283478,31.7029,0.0281808,34.7217,0.0369301,61.5959,0.0105061,107.735,0.0159434,91.9,0.0136899,114.936,0.0186056,66.09074583333334,0.020313725,1621.998930727808,8.190665182108694e-05,0.6651145643620833
28.7008,29.9216,27.7328,23.1704,24.4696,24.6616,2894.6,3150.8,3957.0,2622.2,3103.0,2448.0,20.122,23743500,35.8422,0.0314346,31.4274,0.0213564,31.4274,0.0213564,35.8422,0.0314346,28.2792,0.0235565,30.2797,0.0256392,30.0212,0.0240425,34.1917,0.0356028,40.4785,0.017416,53.9883,0.0247643,49.3785,0.0205914,61.2,0.0320413,12.0,0.0008883,110.132,0.0124577,92.9946,0.009317,132.254,0.014678,68.104,0.0147317,71.9671,0.0141802,66.0585,0.0125162,86.135,0.0195247,50.4687,0.0115845,60.3304,0.0144282,56.1137,0.0124926,71.2272,0.0196532,55.83922916666668,0.01940367916666667,811.1967330256339,6.853916667911231e-05,0.5342419286760416
22.7176,27.8944,24.3824,23.3224,24.6512,22.0848,3044.2,3378.0,3996.2,3632.6,2480.8,2695.2,17.374,23119600,145.776,0.0125672,93.5396,0.0072935,93.5396,0.0072935,145.776,0.0125672,44.8182,0.0322293,36.2487,0.0173583,36.1125,0.0171803,45.2131,0.0299233,16.7949,0.0011663,117.354,0.0181657,80.3086,0.0108503,134.663,0.0202622,55.4834,0.0038719,141.904,0.01191,102.996,0.0090082,178.802,0.015798,57.3123,0.014535,58.6703,0.0128428,52.0155,0.0103321,73.6551,0.0196532,12.0,9.19e-05,143.928,0.0077437,98.7088,0.0048075,185.923,0.0097772,89.64760833333332,0.012801191666666668,2532.594912106015,6.152427179557972e-05,0.5106930977445834
23.1544,26.2048,25.5264,22.7912,29.692,28.4328,3726.2,2965.2,2959.4,2758.8,2670.2,2529.6,23.707,26147200,124.45,0.0147175,102.097,0.0111281,102.097,0.0111281,124.45,0.0147175,45.0885,0.0220964,43.4426,0.0189811,43.2505,0.0186567,48.5074,0.0246658,47.3646,0.0153344,55.5764,0.018498,54.09,0.0173232,62.0772,0.0231895,61.9396,0.0053905,121.365,0.0116367,105.4,0.0096807,133.227,0.0131236,28.921,0.0333514,27.3219,0.0266042,27.3353,0.0265018,29.4586,0.0341434,29.839,0.0217585,32.6085,0.0245574,32.4506,0.0238466,35.5768,0.0312832,63.24727083333334,0.019679762500000007,1346.442568951721,5.862815377027175e-05,0.5755014657239584
25.4664,25.9008,27.8048,28.2568,26.5936,29.8312,2127.6,2572.0,2605.2,2448.4,2705.2,3772.2,16.63,19359700,49.1342,0.0208908,37.6447,0.0109652,37.6447,0.0109652,49.1342,0.0208908,40.8371,0.0112251,52.5652,0.0170344,45.3375,0.0117759,64.9445,0.0244633,35.9979,0.0202959,36.089,0.0180157,34.5488,0.0153422,44.6073,0.0293812,30.2639,0.0151687,34.7606,0.0198964,33.0879,0.0159232,42.3514,0.0307358,29.8995,0.0059854,52.7517,0.0204962,44.7264,0.013061,64.164,0.0273211,36.8545,0.0291483,34.8813,0.0223987,33.8189,0.0199137,43.2369,0.0370892,42.05342083333333,0.019515974999999998,91.2832324999819,5.5714077845434785e-05,0.4021129953054167
27.136,23.4616,29.3584,26.8696,22.3096,28.8816,2129.2,2021.4,2527.2,3157.4,3463.6,2847.8,19.528,22062500,35.0561,0.0250983,30.5733,0.0165707,30.5733,0.0165707,35.0561,0.0250983,18.2417,0.0012376,83.1836,0.0138128,65.8606,0.0089216,92.4035,0.0153179,27.5341,0.0300454,25.3844,0.0212934,25.3775,0.0210373,28.3358,0.0310314,37.5519,0.0152269,49.2646,0.0209719,44.6833,0.0170283,55.5334,0.027664,12.0,0.0,151.216,0.0093736,120.255,0.0065582,185.978,0.0108937,36.1164,0.0334968,31.4044,0.0213268,31.4072,0.0212451,36.211,0.0320739,53.71671666666668,0.018412275,1896.466318581449,8.584316655586956e-05,0.46433096005937496
29.2208,25.072,22.5816,27.2504,27.3192,27.1232,2802.8,2687.6,3229.8,2965.8,2072.2,3324.0,34.141,32480600,29.5397,0.035126,28.6695,0.0316839,28.6695,0.0316839,29.5397,0.035126,46.2775,0.0185842,49.0127,0.0193575,49.0939,0.0194171,51.3956,0.0217599,107.292,0.0112941,116.371,0.0113672,114.369,0.0113134,121.992,0.0126653,36.3756,0.0280319,35.7415,0.0260502,35.7948,0.026087,37.1581,0.0291223,27.9329,0.0236021,28.7476,0.0244865,28.8555,0.0246093,29.7701,0.0273472,38.1096,0.0263572,38.8141,0.0261227,38.8952,0.0261992,40.4789,0.0292947,49.53733333333334,0.024028700000000004,948.0198094797104,5.0389293620000006e-05,0.59504039840125
23.7,24.5832,22.0008,24.6816,28.0384,27.8552,3722.0,2146.8,2509.0,2603.4,2214.0,3130.4,20.656,24068600,110.872,0.0167946,84.7547,0.0114128,84.7547,0.0114128,110.872,0.0167946,48.5096,0.013255,51.6224,0.013486,49.627,0.0122893,60.2619,0.0186215,12.0,0.0009887,163.102,0.0084409,121.452,0.0059053,185.396,0.0093077,59.6832,0.0181377,53.6111,0.0134145,52.6157,0.012927,64.0381,0.0193379,31.0868,0.0239045,30.2114,0.020223,30.1493,0.0196917,34.0235,0.0284464,35.3468,0.0194853,40.0594,0.0224797,38.8724,0.0204716,45.5057,0.0304035,66.60115416666666,0.016151333333333327,1876.6483209599814,4.646736452144927e-05,0.5113449286685416
26.932,26.16,23.8792,27.0616,29.94,26.016,2417.6,2835.0,2030.0,2006.6,2943.6,2920.4,25.879,25924400,35.2651,0.0257837,32.8409,0.0207886,32.8409,0.0207886,35.2651,0.0257837,41.3389,0.0191901,44.6672,0.0202458,44.3217,0.0198279,48.6311,0.0249219,45.7075,0.0097258,58.422,0.0137316,57.2779,0.0129539,64.0026,0.0164476,30.2053,0.0224528,29.896,0.0205706,29.9773,0.0205274,32.0591,0.0254312,27.8947,0.0304932,28.2586,0.029441,28.3007,0.0292904,30.1451,0.0361157,40.5325,0.0171627,46.9526,0.0201401,46.2586,0.0195052,50.9341,0.0245862,40.083145833333326,0.021912737499999998,112.94784153128623,3.5789724580706516e-05,0.4381995954466667
